kuchnia,rynek,balkon,liczba_pieter_budynku,rok_budowy,miasto,liczba_pokoi,wykonczenie,ulica,pietro,rodzaj_zabudowy,powierzchnia,dzielnica,forma-wlasnosci,adres,serwis,material_budynku,oferta,ogrzewanie,winda,czynsz,typ_ogrzewania,dodatkowe_informacje,ulica_i_nr
-1,-1,-1,5,2005,-1,2,-1,-1,3,-1,50.0,-1,-1,"Gdynia, Grabówek, Morska",trojmiasto,-1,-1,-1,-1,-1,-1,"Garaż, Winda, Kuchnia",-1
brak,wtórny,-1,3,2020,Gdynia,2,dowykończenia,-1,2,blok,39.72,-1,-1,"Gdynia, Obłuże",otodom,pustak,Oferta biura nieruchomości,miejskie,0,200.0,-1,-1,-1
-1,-1,-1,4,1970,-1,3,-1,-1,2,-1,54.0,-1,-1,"Gdańsk, Przymorze, Jagiellońska",trojmiasto,-1,-1,-1,-1,-1,-1,"Balkon, Piwnica, Kuchnia",-1
-1,-1,-1,4,2017,-1,4,-1,-1,4,-1,172.6,-1,-1,"Gdynia, Działki, Leśne, Nautikka",trojmiasto,-1,-1,-1,-1,-1,C. o. miejskie,"Garaż, Winda, Taras, Miejsce parkingowe, Internet, Kuchnia, Dwupoziomowe",-1
brak,wtórny,-1,10,1970,Gdynia,3,-1,-1,10,-1,54.1,-1,-1,"Gdynia, Chylonia, Lubawska",otodom,-1,Oferta biura nieruchomości,miejskie,0,-1,-1,-1,-1
-1,-1,-1,6,2016,-1,2,-1,-1,5,-1,45.84,-1,-1,"Gdańsk, Śródmieście, Stara, Stocznia",trojmiasto,-1,-1,-1,-1,-1,-1,"Balkon, Winda, Miejsce parkingowe",-1
-1,-1,-1,3,1950,-1,3,-1,-1,2,-1,60.9,-1,-1,"Gdańsk, Śródmieście",trojmiasto,-1,-1,-1,-1,-1,Miejskie,"Piwnica, Miejsce parkingowe, Kuchnia",-1
aneks,wtórny,tak ,4,2006,Gdynia,2,bardzo wysoki standard,stanisława wyspiańskiego,1 / 4 ,niski blok,45.5,kamienna góra,własność,"gdynia, kamienna góra, stanisława wyspiańskiego",morizon,cegła,-1,-1,-1,-1,-1,-1,-1
półotwarta ,pierwotny,tak ,6,2021,Gdańsk,3,-1,stara stocznia,6 / 6 ,-1,76.5,śródmieście,własność,"gdańsk, śródmieście, stara stocznia",morizon,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,4,1995,-1,5,-1,-1,4,-1,104.0,-1,-1,"Gdańsk, Orunia, Górna, Bpa, Konstantyna, Dominika",trojmiasto,-1,-1,-1,-1,-1,-1,Balkon,-1
-1,-1,-1,4,2006,Gdynia,2,-1,-1,0,apartamentowiec,45.5,kamiennagóra,-1,"Gdynia,KamiennaGóra,pomorskie",gratka,-1,-1,-1,-1,-1,-1,-1,-1
